Tên sản phẩm,Giá,Currency,Điểm đánh giá trung bình,Lượt đánh giá,Fit,Category
Áo Khoác Vải Denim Dáng Ngắn | Indigo,784000.0,VND,,,,Áo
PUFFTECH Áo Khoác Chần Bông,980000.0,VND,,,,Áo
Quần Nỉ Dry | Kẻ Sọc,391000.0,VND,,,,Quần
Áo Khoác Nỉ Dry Kéo Khóa,489000.0,VND,,,,Áo
Áo Len Merino Cổ Tròn,686000.0,VND,,,,Áo
AIRism Áo Thun Vải Cotton | Kẻ Sọc,293000.0,VND,4.0,1.0,3.0,Áo
AIRism Áo Thun Vải Cotton,293000.0,VND,4.0,1.0,4.0,Áo
TRẺ EM QUẦN SHORT,293000.0,VND,,,,Quần
Quần Shorts Gear,293000.0,VND,,,,Quần
Đầm Tay Xòe,391000.0,VND,,,,Đầm
HEATTECH Tất Giữ Nhiệt | 2 Đôi,195000.0,VND,,,,Tất
HEATTECH Mũ Lưỡi Trai Len,391000.0,VND,,,,Nón/Mũ
Áo Thun Dry Cổ Tròn | Xếp Nếp,195000.0,VND,,,,Áo
